
1	7	7
2	7	8
3	7	9
4	7	10
5	7	11
6	7	15
7	7	25
8	7	22
9	7	29
10	7	41
11	7	66
12	7	52
13	7	12
14	7	20
15	7	46
16	7	24
17	7	23
18	7	34
19	7	33
20	7	45
21	7	5
22	7	30
23	7	31
24	7	32
25	7	53
26	7	55
27	7	62
28	7	4
29	7	27
30	7	13
31	7	16
32	7	57
33	7	39
34	7	21
35	7	61
36	7	63
37	7	64
38	7	6
39	7	37
40	7	26
41	7	38
42	7	35
43	7	36
44	7	40
45	7	42
46	7	43
47	7	44
48	7	47
49	7	49
50	7	48
51	7	50
52	7	54
53	7	59
54	7	60
55	7	58
56	7	65
57	7	81
58	7	69
59	7	90
60	7	72
61	7	80
62	7	67
63	7	75
64	7	68
65	7	76
66	7	87
67	7	70
68	7	74
69	7	84
70	8	7
71	8	8
72	8	9
73	8	10
74	8	11
75	8	15
76	8	17
77	8	18
78	8	19
79	8	25
80	8	22
81	8	29
82	8	41
83	8	66
84	8	52
85	8	12
86	8	14
87	8	20
88	8	46
89	8	3
90	8	24
91	8	23
92	8	34
93	8	33
94	8	45
95	8	5
96	8	30
97	8	31
98	8	32
99	8	53
100	8	56
101	8	55
102	8	62
103	8	4
104	8	27
105	8	13
106	8	16
107	8	57
108	8	51
109	8	39
110	8	21
111	8	61
112	8	63
113	8	64
114	8	6
115	8	37
116	8	26
117	8	38
118	8	35
119	8	36
120	8	40
121	8	42
122	8	43
123	8	44
124	8	47
125	8	49
126	8	48
127	8	50
128	8	54
129	8	59
130	8	60
131	8	58
132	8	65
133	8	69
134	8	82
135	8	86
136	8	90
137	8	72
138	8	80
139	8	67
140	8	95
141	8	75
142	8	68
143	8	76
144	8	87
145	8	97
146	8	70
147	8	73
148	8	74
149	8	89
150	8	78
151	8	79
152	8	71
153	9	7
154	9	8
155	9	9
156	9	10
157	9	11
158	9	15
159	9	17
160	9	18
161	9	19
162	9	25
163	9	22
164	9	29
165	9	41
166	9	66
167	9	52
168	9	12
169	9	14
170	9	20
171	9	46
172	9	3
173	9	24
174	9	23
175	9	34
176	9	33
177	9	45
178	9	5
179	9	30
180	9	31
181	9	32
182	9	53
183	9	56
184	9	55
185	9	62
186	9	4
187	9	27
188	9	13
189	9	16
190	9	57
191	9	51
192	9	39
193	9	21
194	9	61
195	9	63
196	9	64
197	9	85
198	9	6
199	9	37
200	9	26
201	9	38
202	9	35
203	9	36
204	9	40
205	9	42
206	9	43
207	9	44
208	9	47
209	9	49
210	9	48
211	9	50
212	9	54
213	9	59
214	9	60
215	9	58
216	9	65
217	9	81
218	9	69
219	9	82
